Game,first_0,second_0,third_0,fourth_0
0,225179280000000.0,101654184.0,53281612.0,7718409600000.0
1,2551995000000.0,19716207000000.0,22083812000000.0,205938770.0
2,9304309000.0,39943234000.0,51624320.0,1772908.6
3,6192591400.0,43215696000.0,363252060.0,2812435.8
4,31747290000.0,421026460.0,203484430.0,0.089408465
5,832152700.0,88076760000000.0,167167100.0,0.08677694
6,793481450000000.0,7479081500.0,8720428300000.0,0.079491705
7,21027633000.0,243385090.0,9452451.0,0.050493985
8,16296942000.0,49522213000.0,8139748.0,0.015766041
9,19066788000.0,18920462000.0,7626701300.0,0.01175876
10,18341616000.0,464569600000000.0,1211797200.0,0.0122068245
11,47265735000.0,1367067600000.0,10838918000000.0,0.011619175
12,1039673900000000.0,29302387000.0,681350100.0,0.0116796745
13,13026222000.0,58979860000.0,13560549.0,0.011361107
14,9526147000.0,878706300.0,44182526000000.0,0.011188656
15,48660152000.0,15339003000000.0,71089790000.0,0.011239355
16,10726116000.0,96074820000.0,1138488000.0,0.011725477
17,109328210000.0,173097440000.0,37175378000.0,0.011516523
18,145892620000000.0,104818400000.0,359557220.0,0.01151356
19,1010330750.0,20758244000000.0,860915300.0,0.011579642
20,798897300.0,2787655200000000.0,54756916000000.0,0.011637156
21,964824100000000.0,318059870000.0,8923236000.0,0.011470825
22,432495900000.0,22661782000.0,720502800.0,0.011273725
23,2268297200.0,1663637900.0,63984586000000.0,0.010850939
24,5968182000.0,4020249600.0,186224350000.0,0.0109849535
25,1337082600000000.0,8.515932,117492060.0,0.010414384
26,993679200000.0,7.9954033,1834659700000000.0,0.010859898
27,1706928100.0,7.6124706,17230518000000.0,0.011035722
28,1482106000.0,7.182286,1314092800.0,0.010369791
29,1118918400.0,6.440608,164756820.0,0.010281703
30,538820840000.0,5.194407,336004600.0,0.010233441
31,970759250000000.0,3.3928902,54935015000.0,0.009864501
32,9242316000.0,1.0084511,12831194000000.0,0.010353897
33,6457590300.0,0.032496154,74405540000000.0,0.010224878
34,2714531800000000.0,0.010521984,623442400000.0,0.010232161
35,272588160000.0,0.010101042,62631147000000.0,0.009669803
36,22787883000.0,0.009678631,93104340000000.0,0.009453103
37,304834800000.0,0.009802168,1910133100000.0,0.00916289
38,104365720000000.0,0.009573589,847391100000.0,0.009339101
39,3129539000.0,0.009307765,2058458500000000.0,0.009067309
40,2073828900000000.0,0.009112357,86760910000.0,0.009041325
41,26592080000.0,0.009122745,4630598700.0,0.009259421
42,17626649000.0,0.008875736,74275996000.0,0.00939111
43,11829876000.0,0.008881513,201054300000000.0,0.009366909
44,2620199600000000.0,0.009402274,454981580000.0,0.00954361
45,91059180000.0,0.009347857,30932870000.0,0.009640867
46,17099095000.0,0.009100414,2390645400000000.0,0.009215371
47,1581964500000.0,0.008816552,2985515800000.0,0.008839018
48,4200849300000000.0,0.009272345,275189040000.0,0.009064771
49,13617822000.0,0.009031578,117498270000.0,0.008826328
50,12071522000.0,0.008950144,129234990000.0,0.009056411
51,7257273000.0,0.009211571,3264218400000000.0,0.008976722
52,3067752200000.0,0.008689294,719861300000.0,0.008550568
